start_date,end_date,value,device
2015-12-01 22:45:00+01:00,2015-12-02 05:40:00+01:00,HKCategoryValueSleepAnalysisAsleepUnspecified,Unknown
2015-12-02 23:10:00+01:00,2015-12-03 05:30:00+01:00,HKCategoryValueSleepAnalysisAsleepUnspecified,Unknown
2015-12-03 23:10:00+01:00,2015-12-04 05:45:00+01:00,HKCategoryValueSleepAnalysisAsleepUnspecified,Unknown
2015-12-05 23:40:00+01:00,2015-12-06 07:30:00+01:00,HKCategoryValueSleepAnalysisAsleepUnspecified,Unknown
2015-12-07 23:15:00+01:00,2015-12-08 05:45:00+01:00,HKCategoryValueSleepAnalysisAsleepUnspecified,Unknown
2015-12-08 22:45:00+01:00,2015-12-09 05:58:00+01:00,HKCategoryValueSleepAnalysisAsleepUnspecified,Unknown
2015-12-12 22:15:00+01:00,2015-12-13 08:30:00+01:00,HKCategoryValueSleepAnalysisAsleepUnspecified,Unknown
2015-12-16 22:45:00+01:00,2015-12-17 05:45:00+01:00,HKCategoryValueSleepAnalysisAsleepUnspecified,Unknown
2015-12-18 23:00:00+01:00,2015-12-19 07:30:00+01:00,HKCategoryValueSleepAnalysisAsleepUnspecified,Unknown
2016-08-14 22:00:00+01:00,2016-08-15 05:07:12+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-08-15 05:11:32+01:00,2016-08-15 05:15:53+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-08-15 22:26:33+01:00,2016-08-16 04:59:36+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-08-16 05:07:20+01:00,2016-08-16 05:09:21+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-08-16 22:00:00+01:00,2016-08-17 04:57:00+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-08-17 22:34:28+01:00,2016-08-18 05:00:13+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-08-18 22:32:40+01:00,2016-08-19 05:00:18+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-08-21 22:35:48+01:00,2016-08-22 05:05:29+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-08-23 22:07:44+01:00,2016-08-24 05:04:44+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-08-24 22:05:12+01:00,2016-08-25 04:12:16+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-08-25 22:04:32+01:00,2016-08-26 04:47:48+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-08-26 04:49:32+01:00,2016-08-26 04:50:08+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-08-26 04:54:04+01:00,2016-08-26 04:54:16+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-08-26 04:54:24+01:00,2016-08-26 05:00:07+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
2016-08-28 22:29:50+01:00,2016-08-29 05:00:12+01:00,HKCategoryValueSleepAnalysisInBed,Unknown
